cluster,token,τ,Φ,order
0,and,11,0.7505689263343811,0
0,and,11,0.8310970067977905,1
0,and,11,0.8432278037071228,2
0,and,13,0.7955895662307739,3
0,and,13,0.7628046274185181,4
0,and,13,0.7881429195404053,5
1,and,11,0.8097800016403198,0
1,and,11,0.8566405773162842,1
1,and,11,0.6815633177757263,2
1,and,11,0.689732551574707,3
1,and,11,0.7109959721565247,4
1,and,11,0.7611376643180847,5
1,and,13,0.7068252563476562,6
1,and,15,0.7724999189376831,7
1,and,19,0.4781094789505005,8
1,and,19,0.6734492182731628,9
2,and,9,0.7209131121635437,0
2,and,9,0.8307291269302368,1
2,and,9,0.7778481245040894,2
2,and,9,0.7717447280883789,3
2,and,9,0.7180034518241882,4
2,and,23,0.804694652557373,5
2,and,23,0.6416617631912231,6
2,and,23,0.7615076899528503,7
2,and,23,0.5425215363502502,8
3,and,0,0.4738922119140625,0
3,and,0,0.5244492888450623,1
3,and,0,0.4485485851764679,2
3,and,1,0.6459854245185852,3
3,and,1,0.4209000766277313,4
3,and,1,0.6594560146331787,5
3,and,1,0.44817566871643066,6
3,and,1,0.6310805082321167,7
3,and,1,0.7178672552108765,8
3,and,1,0.7019517421722412,9
4,and,5,0.5344986915588379,0
4,and,5,0.6232948899269104,1
4,and,5,0.573272705078125,2
4,and,5,0.6581560969352722,3
4,and,5,0.8014353513717651,4
4,and,5,0.6088958978652954,5
4,and,7,0.6944507956504822,6
4,and,7,0.6405836343765259,7
4,and,18,0.7966660261154175,8
4,and,19,0.7367896437644958,9
0,not,5,0.6132581233978271,0
0,not,5,0.7295489311218262,1
0,not,5,0.5175215601921082,2
0,not,5,0.5717097520828247,3
0,not,5,0.6718390583992004,4
0,not,7,0.6285218000411987,5
0,not,7,0.655051589012146,6
0,not,7,0.6344371438026428,7
0,not,7,0.547569990158081,8
0,not,7,0.6161435842514038,9
1,not,9,0.7896343469619751,0
1,not,9,0.8722282648086548,1
1,not,9,0.8358309864997864,2
1,not,9,0.7640559673309326,3
1,not,23,0.7269552946090698,4
1,not,23,0.8079468607902527,5
0,semantic,11,0.7731020450592041,0
0,semantic,11,0.788329541683197,1
0,semantic,11,0.7705069184303284,2
0,semantic,12,0.744705319404602,3
0,semantic,19,0.8348931074142456,4
0,semantic,19,0.6878527998924255,5
0,semantic,21,0.8143250942230225,6
1,semantic,17,0.7933398485183716,0
1,semantic,17,0.7943956255912781,1
1,semantic,17,0.7931007146835327,2
1,semantic,17,0.8767867088317871,3
1,semantic,17,0.8614290952682495,4
1,semantic,17,0.7386807799339294,5
1,semantic,17,0.9048624634742737,6
0,that,1,0.47456955909729004,0
0,that,1,0.5372016429901123,1
0,that,5,0.5243463516235352,2
0,that,5,0.4307834208011627,3
0,that,7,0.6315658688545227,4
0,that,7,0.599004864692688,5
0,that,7,0.5378772020339966,6
0,that,7,0.4671190679073334,7
0,that,9,0.5071776509284973,8
0,that,11,0.36276471614837646,9
1,that,9,0.7310171127319336,0
1,that,9,0.7305232286453247,1
1,that,9,0.6739343404769897,2
1,that,9,0.6715203523635864,3
1,that,13,0.6544555425643921,4
1,that,23,0.6816695332527161,5
1,that,23,0.7070322036743164,6
1,that,23,0.7413064241409302,7
0,the,1,0.5110912919044495,0
0,the,1,0.5614616274833679,1
0,the,1,0.6426718831062317,2
0,the,1,0.5712820887565613,3
0,the,1,0.4464343786239624,4
0,the,1,0.5080626010894775,5
0,the,1,0.46651491522789,6
0,the,1,0.34068039059638977,7
0,the,1,0.3410084545612335,8
0,the,1,0.40380698442459106,9
1,the,7,0.8549278378486633,0
1,the,7,0.9191895127296448,1
1,the,7,0.8030954003334045,2
1,the,7,0.9107227325439453,3
1,the,21,0.8549278378486633,4
1,the,21,0.9191895127296448,5
0,their,0,0.6519117951393127,0
0,their,1,0.661663830280304,1
0,their,1,0.7017560005187988,2
0,their,1,0.7382446527481079,3
0,their,1,0.7550457119941711,4
0,their,14,0.6519117951393127,5
0,their,15,0.6245757341384888,6
0,their,15,0.6424049735069275,7
0,their,15,0.6348046064376831,8
0,their,15,0.6300995945930481,9
1,their,9,0.7674105763435364,0
1,their,9,0.7126896381378174,1
1,their,23,0.7527609467506409,2
1,their,23,0.7823684215545654,3
1,their,23,0.7265328168869019,4
