cluster,window,drift
0,0,0.07583683729171753
0,1,0.07981258630752563
0,2,0.04604315757751465
1,0,0.07815742492675781
1,1,0.06285560131072998
1,2,0.08370649814605713
1,3,0.1206255555152893
1,4,0.07860469818115234
1,5,0.1205788254737854
1,6,0.0970613956451416
1,7,0.1337890625
2,0,0.07159918546676636
2,1,0.07396155595779419
2,2,0.04641491174697876
2,3,0.08589118719100952
2,4,0.07270801067352295
2,5,0.12596064805984497
3,0,0.11589670181274414
3,1,0.18205475807189941
3,2,0.14695286750793457
3,3,0.1591418981552124
3,4,0.1614823341369629
3,5,0.09137535095214844
3,6,0.07277590036392212
3,7,0.07037919759750366
3,8,0.04777395725250244
3,9,0.04532414674758911
3,10,0.037108421325683594
3,11,0.0806456208229065
3,12,0.13529491424560547
3,13,0.11601924896240234
3,14,0.10217434167861938
3,15,0.14353537559509277
3,16,0.08438539505004883
3,17,0.146739661693573
3,18,0.12648218870162964
3,19,0.11039835214614868
3,20,0.10226362943649292
3,21,0.1087920069694519
3,22,0.08936518430709839
3,23,0.14782774448394775
3,24,0.1368870735168457
3,25,0.12764662504196167
3,26,0.10687398910522461
3,27,0.07955712080001831
3,28,0.12098860740661621
3,29,0.08990979194641113
3,30,0.09606939554214478
3,31,0.07780593633651733
3,32,0.08979213237762451
3,33,0.10053229331970215
3,34,0.1516653299331665
3,35,0.15899896621704102
3,36,0.1887311339378357
3,37,0.14865678548812866
3,38,0.07761967182159424
3,39,0.14779448509216309
3,40,0.1552014946937561
3,41,0.10439693927764893
3,42,0.04777395725250244
3,43,0.04532414674758911
3,44,0.037108421325683594
3,45,0.07584595680236816
3,46,0.11160820722579956
3,47,0.11947876214981079
3,48,0.022610843181610107
3,49,0.10786771774291992
3,50,0.13091343641281128
3,51,0.17112886905670166
3,52,0.1645297408103943
3,53,0.11105465888977051
3,54,0.15212208032608032
3,55,0.16734641790390015
3,56,0.08058243989944458
3,57,0.1198434829711914
3,58,0.1066473126411438
3,59,0.11857724189758301
3,60,0.05337435007095337
3,61,0.06406605243682861
3,62,0.16847938299179077
3,63,0.203868567943573
4,0,0.1518344283103943
4,1,0.1085895299911499
4,2,0.08858144283294678
4,3,0.10538208484649658
4,4,0.09356474876403809
4,5,0.10305464267730713
4,6,0.073131263256073
4,7,0.10647553205490112
0,0,0.04674661159515381
0,1,0.06653755903244019
0,2,0.12458127737045288
0,3,0.15525603294372559
0,4,0.14245033264160156
0,5,0.1413971185684204
0,6,0.08620744943618774
0,7,0.09443211555480957
0,8,0.13502037525177002
0,9,0.12997114658355713
0,10,0.11797404289245605
0,11,0.09187555313110352
0,12,0.16560184955596924
0,13,0.16365504264831543
0,14,0.130956768989563
0,15,0.1816037893295288
0,16,0.1520402431488037
0,17,0.15941184759140015
0,18,0.11366790533065796
0,19,0.12710696458816528
0,20,0.15311658382415771
1,0,0.06816166639328003
1,1,0.07496124505996704
1,2,0.06173282861709595
0,0,0.06573444604873657
0,1,0.06914758682250977
0,2,0.0893174409866333
0,3,0.08214771747589111
1,0,0.05588799715042114
1,1,0.04265409708023071
1,2,0.06949889659881592
1,3,0.028284013271331787
0,0,0.20639151334762573
0,1,0.12785309553146362
0,2,0.11000716686248779
0,3,0.14876455068588257
0,4,0.08432310819625854
0,5,0.10935348272323608
0,6,0.1938389539718628
0,7,0.29755842685699463
0,8,0.20073306560516357
0,9,0.1454494595527649
0,10,0.11865472793579102
0,11,0.15863430500030518
0,12,0.1666448712348938
0,13,0.1667640209197998
0,14,0.13882595300674438
0,15,0.220753014087677
0,16,0.22369861602783203
0,17,0.1964801549911499
0,18,0.08462399244308472
0,19,0.10944139957427979
1,0,0.09654200077056885
1,1,0.1216164231300354
1,2,0.09850901365280151
1,3,0.1003153920173645
1,4,0.10021364688873291
0,0,0.10153841972351074
0,1,0.05934995412826538
0,2,0.07007080316543579
0,3,0.0714486837387085
0,4,0.05516165494918823
0,5,0.07374411821365356
0,6,0.08272743225097656
0,7,0.1629132628440857
0,8,0.2091962695121765
0,9,0.13368374109268188
0,10,0.11428755521774292
0,11,0.09704804420471191
0,12,0.13078784942626953
0,13,0.14083445072174072
0,14,0.14557808637619019
0,15,0.101054847240448
0,16,0.07057934999465942
0,17,0.10730284452438354
0,18,0.10649824142456055
0,19,0.10825037956237793
0,20,0.09260869026184082
0,21,0.1290472149848938
0,22,0.10443264245986938
0,23,0.09340792894363403
0,24,0.07170993089675903
0,25,0.1025238037109375
0,26,0.11594325304031372
0,27,0.09970420598983765
0,28,0.12862920761108398
0,29,0.0633196234703064
0,30,0.07863914966583252
0,31,0.06416773796081543
0,32,0.10095071792602539
0,33,0.12324965000152588
0,34,0.15201455354690552
0,35,0.06202000379562378
0,36,0.09222245216369629
0,37,0.15587782859802246
0,38,0.13785600662231445
0,39,0.12423831224441528
0,40,0.1008526086807251
0,41,0.12941396236419678
0,42,0.12602198123931885
0,43,0.12068349123001099
0,44,0.0999143123626709
0,45,0.07925885915756226
0,46,0.10112828016281128
0,47,0.07519727945327759
0,48,0.10728704929351807
0,49,0.14940494298934937
0,50,0.10000818967819214
0,51,0.1032644510269165
0,52,0.18214434385299683
0,53,0.1869724988937378
0,54,0.1059502363204956
0,55,0.11343282461166382
0,56,0.09858334064483643
0,57,0.08647650480270386
0,58,0.07653993368148804
0,59,0.10669279098510742
0,60,0.08698159456253052
0,61,0.145551860332489
0,62,0.09402221441268921
0,63,0.08865553140640259
0,64,0.10544317960739136
0,65,0.05913436412811279
0,66,0.11223983764648438
0,67,0.07018154859542847
0,68,0.11879932880401611
0,69,0.07820266485214233
0,70,0.14005988836288452
0,71,0.18906676769256592
0,72,0.1897028684616089
0,73,0.09590595960617065
0,74,0.039968013763427734
0,75,0.09836328029632568
0,76,0.11775374412536621
0,77,0.11432701349258423
0,78,0.09938114881515503
0,79,0.148651123046875
0,80,0.14043253660202026
0,81,0.08449918031692505
0,82,0.09290575981140137
0,83,0.08352100849151611
0,84,0.08906185626983643
0,85,0.08790099620819092
0,86,0.14305001497268677
0,87,0.11720681190490723
0,88,0.14284074306488037
0,89,0.15659654140472412
0,90,0.13725322484970093
0,91,0.08189266920089722
0,92,0.11004376411437988
0,93,0.09671151638031006
0,94,0.09659278392791748
0,95,0.11462575197219849
0,96,0.18732082843780518
0,97,0.17775332927703857
0,98,0.17261648178100586
0,99,0.19883841276168823
0,100,0.21174144744873047
0,101,0.16104274988174438
0,102,0.08324682712554932
0,103,0.08929985761642456
0,104,0.07380783557891846
0,105,0.05299258232116699
0,106,0.07758891582489014
0,107,0.15920144319534302
0,108,0.11384499073028564
0,109,0.13595223426818848
0,110,0.09464144706726074
0,111,0.08115404844284058
0,112,0.11205339431762695
0,113,0.07761043310165405
0,114,0.10537004470825195
0,115,0.06342774629592896
0,116,0.06181645393371582
0,117,0.08467698097229004
0,118,0.08124440908432007
0,119,0.09564226865768433
0,120,0.11260896921157837
0,121,0.08435666561126709
0,122,0.1392574906349182
0,123,0.17420315742492676
0,124,0.18701672554016113
0,125,0.15300369262695312
0,126,0.05900537967681885
0,127,0.1633726954460144
0,128,0.14821112155914307
0,129,0.16054832935333252
0,130,0.16458308696746826
0,131,0.15662717819213867
0,132,0.1706007719039917
0,133,0.06470423936843872
0,134,0.1260088086128235
0,135,0.1708853840827942
0,136,0.16118007898330688
0,137,0.15091150999069214
0,138,0.10433197021484375
0,139,0.0487055778503418
0,140,0.0621066689491272
0,141,0.10479503870010376
0,142,0.19311320781707764
0,143,0.2001364827156067
0,144,0.16648554801940918
0,145,0.151403546333313
0,146,0.1378629207611084
0,147,0.20976459980010986
0,148,0.1271154284477234
0,149,0.0833483338356018
0,150,0.13844698667526245
0,151,0.1342291235923767
0,152,0.1643494963645935
0,153,0.11645197868347168
0,154,0.14620202779769897
0,155,0.10738801956176758
0,156,0.12912672758102417
0,157,0.1616506576538086
0,158,0.13641226291656494
0,159,0.12215590476989746
0,160,0.08562445640563965
0,161,0.22887790203094482
0,162,0.2073102593421936
1,0,0.052549004554748535
1,1,0.05158430337905884
1,2,0.04955321550369263
0,0,0.07858872413635254
0,1,0.07361328601837158
0,2,0.10570496320724487
0,3,0.11661320924758911
0,4,0.11529701948165894
0,5,0.10846513509750366
0,6,0.12476050853729248
0,7,0.10490280389785767
0,8,0.12166708707809448
0,9,0.14623385667800903
1,0,0.1005549430847168
1,1,0.10175859928131104
